RNA_Tumor_Sample_Barcode	Fibroblasts	Endothelial.cells	B.cells	CD4.T.cells	CD8.T.cells	Dendritic.cells	Mast.cells	Monocytes.and.Macrophages	NK.cells	PCs	PMNs
ESCC-P01-T1	0.587485432	0.276589625	0.003555522	0.020925663	0.013895762	0.018306717	0.008446158	0.03589271	0.015667381	0.018553017	6.82E-04
ESCC-P02-T1	0.868681262	0.131318738	0	0	0	0	0	0	0	0	0.00E+00
ESCC-P03-T1	0.295244687	0.537755111	0.00349315	0.052287616	0.01111457	0.007773134	0.005018425	0.0385484	0.022039244	0.026567153	1.59E-04
ESCC-P04-T1	0.777361405	0.074542103	0.006545302	0.036975851	0.007794994	0.005950773	0.008401397	0.042951558	0.009396618	0.029189207	8.91E-04
ESCC-P05-T1	0.502187537	0.01207774	0.020423352	0.116909521	0.065171423	0.028482386	0.022314731	0.119748618	0.041336927	0.071347765	0.00E+00
ESCC-P06-T1	0.036986295	0.002268164	0.023018586	0.256391238	0.093574762	0.09045362	0.042421131	0.199485353	0.10751412	0.136874629	1.10E-02
ESCC-P07-T1	0.771602596	0.228397404	0	0	0	0	0	0	0	0	0.00E+00
ESCC-P08-T1	0.272359835	0.013458455	0.022937438	0.163089093	0.064404172	0.064366153	0.03854908	0.107731867	0.110170529	0.126389015	1.65E-02
ESCC-P09-T1	0.051182087	0.087428477	0.086106992	0.235541878	0.13825349	0.032259452	0.027055739	0.211968759	0.048404506	0.073470183	8.33E-03
ESCC-P10-T1	0.865831943	0.049809604	0.002085931	0.019713009	0.006098709	0.002123563	0.004906249	0.036115845	0.005942848	0.007358389	1.39E-05
ESCC-P11-T1	0.003978868	0.102451185	0.014013175	0.245222569	0.230642427	0.078387658	0.042919641	0.156195701	0.075736806	0.05045197	0.00E+00
ESCC-P12-T1	0.827033319	0.041046457	0.009787106	0.039577883	0.012252379	0.004300707	0.003281481	0.032428927	0.009455962	0.020139212	6.97E-04
ESCC-P13-T1	0.013165873	0	0.016654166	0.195869811	0.163910387	0.015853868	0.040604828	0.319159346	0.080307581	0.147481663	6.99E-03
ESCC-P16-T1	0	0	0.147102197	0.274911819	0.130699296	0.06117272	0.023219564	0.18912486	0.094646681	0.079122862	0.00E+00
ESCC-P17-T1	0.606575247	0	0.008609819	0.115634999	0.032801773	0.049093946	0.008671952	0.097756727	0.042236778	0.037282012	1.34E-03
ESCC-P20-T1	1	0	0	0	0	0	0	0	0	0	0.00E+00
ESCC-P21-T1	0.642496496	0.064372681	0.004717769	0.083666744	0.008406428	0.015847293	0.027140424	0.099396718	0.029680377	0.022774714	1.50E-03
ESCC-P22-T1	0.014388803	0	0.02286457	0.27763868	0.110465564	0.146048106	0.059650688	0.196907035	0.070843352	0.076469104	2.47E-02
ESCC-P01-T3	0.19887699	0.293884089	0.022527518	0.080096772	0.114398715	0.001127202	0.041489339	0.192325001	0.010626905	0.040937791	0.003709679
ESCC-P03-T3	0.090220593	0.015219336	0.022432127	0.233626919	0.104306427	0.022056155	0.03852728	0.340155066	0.050152031	0.047563336	0.035740732
ESCC-P04-T3	0.779377696	0.072785312	0.005039012	0.035898076	0.014344651	0.007673308	0.005376743	0.053600785	0.011267826	0.01347137	0.001165222
ESCC-P05-T3	0.428899643	0.083167263	0.010921786	0.187036645	0.040882997	0.018342398	0.013666959	0.146279301	0.04560259	0.020519567	0.004680852
ESCC-P06-T3	0.036132706	0.03172346	0.141849386	0.266775233	0.138638231	0.041947337	0.033571732	0.188262357	0.039687717	0.069780388	0.011631452
ESCC-P07-T3	0.362854561	0.027285407	0.008147816	0.153864925	0.108194461	0.018484507	0.0145891	0.216991325	0.045223009	0.028490571	0.015874317
ESCC-P08-T3	0.014171002	0.008125866	0.023767908	0.226374621	0.238084798	0.060783445	0.04085246	0.264877356	0.05693513	0.059514121	0.006513293
ESCC-P09-T3	0	0.012209792	0.09450458	0.236939397	0.297362293	0.052446266	0.011052592	0.204760372	0.044795421	0.039389988	0.006539298
ESCC-P10-T3	0.378099386	0.437495975	0.004574854	0.038403636	0.014672984	0.002141355	0.028587193	0.056709605	0.011025555	0.026287819	0.002001637
ESCC-P11-T3	0.588820533	0.011367305	0.006903581	0.076457632	0.091504611	0.007485754	0.007466012	0.140373341	0.052921209	0.01436391	0.002336111
ESCC-P12-T3	0.015282154	0.041033588	0.039869154	0.372246778	0.118412855	0.049201371	0.010835436	0.195864424	0.106833034	0.044999838	0.005421366
ESCC-P13-T3	0.099995685	0.070423165	0.105131461	0.218461572	0.125153402	0.007100159	0.025962712	0.197690121	0.067330928	0.061026895	0.0217239
ESCC-P14-T3	0.013350437	0.041417306	0.373951566	0.246761166	0.075410254	0.020452923	0.013603548	0.174606869	0.011768135	0.026765738	0.001912059
ESCC-P16-T3	0.076874788	0.175302833	0.049807667	0.235349217	0.167720838	0.030631026	0.028113725	0.16075101	0.037666845	0.033579652	0.004202398
ESCC-P17-T3	0.32073562	0.031749895	0.024223866	0.144500822	0.070938141	0.03751211	0.059181556	0.194762876	0.034887041	0.033775902	0.047732171
ESCC-P18-T3	0.125719528	0.25373214	0.025068485	0.055802988	0.025675643	0.003007404	0.119558158	0.177944396	0.006562469	0.010682189	0.1962466
ESCC-P19-T3	0.089633203	0.024365837	0.015603623	0.194561984	0.380331103	0.004375156	0.018164518	0.18450611	0.063877824	0.011569441	0.013011199
ESCC-P20-T3	0.438302477	0.033109067	0.00726765	0.208036563	0.038982137	0.010132253	0.026229325	0.182781273	0.027330068	0.016421498	0.011407689
ESCC-P21-T3	0.099586985	0.040474156	0.058896377	0.202415415	0.085997253	0.044304766	0.080712586	0.180803954	0.075328646	0.048793766	0.082686096
ESCC-P22-T3	0.42256832	0.232879476	0.014119052	0.089632769	0.051441732	0.011863641	0.012110172	0.117981944	0.021771684	0.016279319	0.009351891
ESCC-P23-T3	0.075488565	0.066388297	0.021283749	0.202945114	0.203677564	0.017556405	0.033262665	0.2676849	0.07911555	0.025752825	0.006844366
ESCC-P25-T3	0.1305851	0.288694947	0.029884149	0.152613444	0.122426017	0.010978974	0.023117344	0.149285574	0.057693223	0.02022772	0.014493509
