HALLMARK	pathway
HALLMARK_ADIPOGENESIS	Adipocyte development
HALLMARK_ALLOGRAFT_REJECTION	Allograft rejection
HALLMARK_ANDROGEN_RESPONSE	Androgen response
HALLMARK_ANGIOGENESIS	Angiogenesis
HALLMARK_APICAL_JUNCTION	Apical junction complex 
HALLMARK_APICAL_SURFACE	Membrane proteins in the apical domain
HALLMARK_APOPTOSIS	Programmed cell death
HALLMARK_BILE_ACID_METABOLISM	Biosynthesis of bile acids
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Cholesterol homeostasis
HALLMARK_COAGULATION	Blood coagulation cascade
HALLMARK_COMPLEMENT	Complement cascade
HALLMARK_DNA_REPAIR	DNA repair
HALLMARK_E2F_TARGETS	E2F targets
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT
HALLMARK_ESTROGEN_RESPONSE_EARLY	Early estrogen response
HALLMARK_ESTROGEN_RESPONSE_LATE	Late estrogen response
HALLMARK_FATTY_ACID_METABOLISM	Fatty acid metabolism
HALLMARK_G2M_CHECKPOINT	G2/M checkpoint
HALLMARK_GLYCOLYSIS	Glycolysis
HALLMARK_HEDGEHOG_SIGNALING	Hedgehog signaling
HALLMARK_HEME_METABOLISM	Heme metabolism and erythroid lineage
HALLMARK_HYPOXIA	Hypoxia
HALLMARK_IL2_STAT5_SIGNALING	IL2 STAT5
HALLMARK_IL6_JAK_STAT3_SIGNALING	IL6 STAT3
HALLMARK_INFLAMMATORY_RESPONSE	Inflammation
HALLMARK_INTERFERON_ALPHA_RESPONSE	Interferon-alpha response
HALLMARK_INTERFERON_GAMMA_RESPONSE	Interferon-gamma response
HALLMARK_KRAS_SIGNALING_DN	KRAS signaling down
HALLMARK_KRAS_SIGNALING_UP	KRAS signaling up
HALLMARK_MITOTIC_SPINDLE	Mitotic spindle assembly
HALLMARK_MTORC1_SIGNALING	mTORC1 signaling
HALLMARK_MYC_TARGETS_V1	MYC targets v1
HALLMARK_MYC_TARGETS_V2	MYC targets v2
HALLMARK_MYOGENESIS	Myogenesis
HALLMARK_NOTCH_SIGNALING	Notch signaling
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Oxidative phosphorylation
HALLMARK_P53_PATHWAY	P53 pathway
HALLMARK_PANCREAS_BETA_CELLS	Pancreatic beta cells
HALLMARK_PEROXISOME	Peroxisomes
HALLMARK_PI3K_AKT_MTOR_SIGNALING	PI3K signaling via AKT to mTORC1
HALLMARK_PROTEIN_SECRETION	Protein secretion
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	ROS
HALLMARK_SPERMATOGENESIS	Sperm development and male fertility
HALLMARK_TGF_BETA_SIGNALING	TGF-beta signaling
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNFA signaling via NF_B
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Unfolded protein response
HALLMARK_UV_RESPONSE_DN	UV response down
HALLMARK_UV_RESPONSE_UP	UV response up
HALLMARK_WNT_BETA_CATENIN_SIGNALING	Canonical beta catenin pathway
HALLMARK_XENOBIOTIC_METABOLISM	Metabolism of xenobiotics
