Mixture	Fibroblasts	Endothelial.cells	B.cells	CD4.T.cells	CD8.T.cells	Dendritic.cells	Mast.cells	Monocytes.and.Macrophages	NK.cells	PCs	PMNs		T_cell	T_relative_cell	T+B	TILs	TILs_relative	CAF
ESCC-P01-T1	0.029246415	0.013769286	0.000177002	0.001041729	0.000691764	0.000911352	0.00042047	0.001786824	0.000779959	0.000923613	3.40E-05	0.049782414	0.001733493	0.034821393	0.001910495	0.038376906	0.038376906	0.58748487
ESCC-P02-T1	0.062114088	0.0093898	0	0	0	0	0	0	0	0	0	0.071503888	0	0	0	0	0	0.868681267
ESCC-P03-T1	0.040101732	0.073040811	0.000474459	0.007101987	0.001509641	0.001055789	0.00068163	0.005235852	0.002993489	0.003608495	2.15E-05	0.135825385	0.008611628	0.063402198	0.009086087	0.066895352	0.066895352	0.295244751
ESCC-P04-T1	0.496834615	0.047642058	0.004183296	0.023632358	0.00498201	0.003803315	0.005369581	0.027451608	0.006005656	0.018655684	0.000569333	0.639129514	0.028614368	0.044770844	0.032797664	0.051316147	0.051316147	0.777361402
ESCC-P05-T1	0.025193803	0.000605917	0.001024601	0.00586513	0.003269528	0.001428908	0.001119488	0.006007563	0.002073796	0.003579383	0	0.050168117	0.009134658	0.182080942	0.010159259	0.202504292	0.202504292	0.502187535
ESCC-P06-T1	0.002693109	0.000165153	0.001676068	0.018668792	0.006813524	0.006586262	0.003088839	0.014525265	0.0078285	0.009966347	0.000801832	0.072813691	0.025482316	0.349965997	0.027158384	0.372984581	0.372984581	0.0369863
ESCC-P07-T1	0.047648118	0.01410403	0	0	0	0	0	0	0	0	0	0.061752148	0	0	0	0	0	0.771602601
ESCC-P08-T1	0.032069943	0.001584712	0.002700847	0.019203485	0.00758349	0.007579014	0.004539094	0.012685258	0.012972407	0.014882108	0.001948073	0.117748431	0.026786975	0.227493265	0.029487822	0.2504307	0.2504307	0.272359833
ESCC-P09-T1	0.009853367	0.016831374	0.016576967	0.045345563	0.026615999	0.006210458	0.005208661	0.040807362	0.009318638	0.01414418	0.001603357	0.192515926	0.071961562	0.373795371	0.088538529	0.459902362	0.459902362	0.051182088
ESCC-P10-T1	0.473817015	0.027257758	0.001141503	0.010787727	0.003337451	0.001162097	0.002684891	0.019763999	0.003252158	0.004026798	7.61E-06	0.547239007	0.014125178	0.025811716	0.015266681	0.027897648	0.027897648	0.865831947
ESCC-P11-T1	0.000233462	0.006011368	0.000822229	0.014388541	0.013533045	0.00459943	0.002518329	0.009164851	0.00444389	0.002960291	0	0.058675436	0.027921586	0.475864994	0.028743815	0.489878166	0.489878166	0.003978871
ESCC-P12-T1	0.350846021	0.017412825	0.004151909	0.016789823	0.005197733	0.001824456	0.001392078	0.013757076	0.00401143	0.008543504	0.000295499	0.424222354	0.021987556	0.051830263	0.026139465	0.061617368	0.061617368	0.827033318
ESCC-P13-T1	0.003652411	0	0.004620116	0.054337233	0.045471208	0.004398101	0.01126439	0.088539605	0.022278531	0.040913632	0.001939819	0.277415046	0.099808441	0.359780201	0.104428557	0.376434366	0.376434366	0.013165872
ESCC-P16-T1	0	0	0.019723711	0.036860641	0.017524382	0.008202142	0.003113318	0.02535818	0.012690387	0.010608927	0	0.134081688	0.054385023	0.405611115	0.074108734	0.552713313	0.552713313	0
ESCC-P17-T1	0.022290876	0	0.0003164	0.00424944	0.001205424	0.001804141	0.000318683	0.003592437	0.001552148	0.001370067	4.91E-05	0.036748716	0.005454864	0.14843686	0.005771264	0.157046684	0.157046684	0.606575642
ESCC-P20-T1	0.117669287	0	0	0	0	0	0	0	0	0	0	0.117669287	0	0	0	0	0	1
ESCC-P21-T1	0.052748237	0.005284924	0.000387323	0.006868945	0.000690158	0.001301045	0.002228198	0.008160358	0.002436725	0.001869778	0.000123178	0.082098869	0.007559103	0.092073169	0.007946426	0.096790931	0.096790931	0.642496512
ESCC-P22-T1	0.000645384	0	0.001025549	0.01245298	0.004954733	0.006550723	0.002675524	0.008831908	0.00317755	0.003429883	0.001108955	0.044853189	0.017407713	0.388104244	0.018433262	0.410968817	0.410968817	0.01438881
