,P13.pre,P16.pre,P03.pre,P22.pre,P13.post,P16.post,P03.post,P22.post
CD8 ,0.00921666666666667,0.03006,0.007725,0.01074,0.03773,0.03175,0.00807272727272727,0.0176083333333333
PD-1 ,0.00555,0.00268,0.001075,0.00098,0.00452,0.00743333333333333,0.0793454545454545,0.00769166666666667
CD4 ,0.00255,0.02306,0.0011,0.01406,0.08712,0.0454333333333333,0.0820545454545455,0.0513166666666667
FOXP3 ,0.00985,0.01322,0.005225,0.00822,6e-05,0.00891666666666667,0.000509090909090909,0.00319166666666667
CD20 ,0.0137666666666667,0.02802,0.00325,0.00056,0.0724875,0.0811,0.03015,0.00524166666666667
CD11c ,0.0419333333333333,0.03036,0.03985,0.01212,0.057425,0.0453166666666667,0.08925,0.0406083333333333
CD68 ,0.0168,0.02506,0.015725,0.0071,0.0380375,0.0253166666666667,0.06436,0.0645615384615385
CD163 ,0.00631666666666667,0.00748,0.004925,0.00408,0.0093625,0.00931666666666667,0.08533,0.0136916666666667
IFN-r ,0.00213333333333333,0.0055,0.0043,0.00736,0.0230625,0.0216333333333333,0.05169,0.0236083333333333
PD-L1 ,0.0384,0.01714,0.004875,0.0012,0.00715,0.01365,0.0503454545454545,0.0547916666666667
