Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells CD4	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
ESCC-P13-T1	0.023715322	0	0.151177252	0.16035211	0	0.067617843	0.087914104	0.103805814	0	0.103805814	0	0.045938947	0.015205428	0.021646161	0.108033249	0.037984313	0.140354127	0	0	0	0.029357997	0	0.006897335	0	0.185581612	1.005386964
ESCC-P16-T1	0	0.221949698	0.009621557	0.170633093	0	0.06481121	0	0.21442541	0	0.21442541	0	0.052576978	0.012504478	0.070490398	0	0	0.148029949	0	0.02554029	0	0.009416939	0	0	0	-0.023137895	1.102816943
ESCC-P06-T1	0.03486917	0	0.212586958	0.159879419	0.004261427	0	0	0.138549814	0	0.138549814	0	0	0.071371617	0.016161495	0.091586661	0.051225088	0.093181607	0	0.088285218	0	0.031080539	0	0.006960988	0	0.054282053	1.060923487
ESCC-P08-T1	0	0	0.321649402	0.017448549	0.213962706	0	0	0	0.010576052	0.010576052	0	0.114938227	0.001355072	0.020790907	0	0.039822161	0.054665496	0	0.10127958	0	0.092979908	0	0.010531939	0	0.064786321	1.060886795
ESCC-P09-T1	0.103338527	0	0.06728704	0.171430141	0	0.120587318	0.00611113	0.154920797	0	0.154920797	0	0.054118602	0	0	0.109416644	0.114476789	0.080710251	0	0.014818776	0.000187724	0	0	0.002596263	0	0.226790322	0.999795374
ESCC-P05-T1	0	0	0.246692283	0.197974807	0	0.152847103	0.046523442	0.037708369	0	0.037708369	0	0.011179799	0.006085901	0.045023912	0.020837072	0.082073441	0.049130376	0.025305829	0.057804684	0.018535959	0	0.002277023	0	0	0.120311982	1.037346141
ESCC-P01-T1	0.015269957	0	0.078816148	0.127298082	0	0	0.042694465	0.099590977	0	0.099590977	0	0.070755084	0.037777686	0.008302084	0.035003727	0	0.268420062	0	0.190183453	0.025888275	0	0	0	0	0.05216387	1.066708551
ESCC-P02-T1	0	0.025583392	0.277344477	0.000939467	0.06824037	0.099870041	0.060837686	0	0	0	0	0.04784128	0.029676415	0.004046736	0.168080908	0	0.055797158	0	0.072359849	0	0.08938222	0	0	0	0.046126397	1.063798309
ESCC-P11-T1	0	0	0.037853943	0.421812801	0	0.01927449	0	0.109576678	0.057115806	0.166692484	0	0.089247136	0	0.065933794	0	0.010740896	0.067288342	0.048578189	0.038365557	0	0.034212368	0	0	0	-0.016994853	1.136368711
ESCC-P10-T1	0.015698981	0	0.046088813	0.059044352	0.074141386	0.18969385	0	0	0	0	0	0.076490552	0	0	0.274717634	0.085725746	0.098502069	0	0	0	0.079896616	0	0	0	0.235730632	1.001535424
